DataSeries,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981
Total Casualties Fatalities,136,108,107,83,118,124,121,141,151,155,160,168,195,193,183,221,214,190,173,193,212,199,194,213,198,221,257,225,225,254,258,239,243,236,230,226,205,251,265,327,298,307,273
    Pedestrians,39,33,23,18,39,39,41,47,43,45,43,44,49,55,45,62,58,42,41,46,64,49,54,59,56,67,78,70,63,67,61,65,70,88,64,81,73,69,75,114,115,96,109
    Personal Mobility Device Users,2,0,3,0,2,1,4,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Cyclists & Pillions,14,11,11,7,8,9,15,20,17,15,15,16,15,16,17,22,22,14,18,17,17,16,12,15,19,15,16,15,7,17,19,18,18,16,11,14,16,18,28,26,33,25,27
    Motor Cyclists & Pillion Riders,68,47,50,49,64,61,44,62,72,74,73,76,99,89,92,108,102,102,95,95,94,101,88,99,85,87,111,94,117,118,123,103,112,89,110,101,86,115,84,116,100,126,79
    Motor Cars And Station Wagons,6,6,12,4,1,10,9,8,7,12,16,14,15,14,12,23,21,18,8,23,27,21,25,22,30,30,33,29,21,35,34,35,25,22,24,21,18,26,43,35,23,31,29
    Goods Vans & Pick-Ups,3,1,3,2,0,3,2,1,2,2,3,0,1,3,5,0,2,4,4,4,4,4,3,4,0,5,7,6,8,5,5,7,8,9,6,3,4,13,13,16,19,15,15
        Goods Vans,3,1,3,2,0,3,2,1,2,1,3,0,1,3,5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
        Pick-Ups,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
"    Lorries, Tipper Trucks & Trailers",2,7,4,3,3,1,5,3,8,6,9,11,15,9,8,5,7,9,7,6,5,3,7,10,7,13,2,9,7,10,10,8,9,7,8,1,8,5,13,16,5,13,12
        Lorries,1,6,4,3,2,1,5,2,7,6,9,9,14,9,7,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
        Tipper Trucks,0,1,0,0,1,0,0,0,0,0,0,2,1,0,1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
        Trailers,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Buses,2,3,1,0,1,0,1,0,2,0,1,4,1,2,3,1,2,0,0,2,1,2,1,2,1,3,10,2,2,0,4,1,0,4,5,2,0,4,7,2,2,1,2
    Others,0,0,0,0,0,0,0,0,0,1,0,3,0,5,1,0,0,1,0,0,0,3,4,2,0,1,0,0,0,2,2,2,1,1,2,3,0,1,2,2,1,0,0
Total Casualties Injured,8941,8441,7240,6669,9833,10018,9953,10687,10412,9858,9751,10253,10611,11328,10886,10760,10352,9706,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Pedestrians,841,659,605,642,979,877,903,1065,973,883,989,1069,1049,1057,1073,1114,1036,924,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Personal Mobility Device Users,71,53,46,51,197,162,95,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Cyclists & Pillions,558,724,763,563,452,499,589,594,606,503,436,442,513,562,569,585,519,493,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Motor Cyclists & Pillion Riders,4235,4229,3693,3381,5010,4839,4803,5102,4928,4634,4383,4800,5003,5490,5304,5218,5358,4943,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Motor Cars And Station Wagons,2304,1949,1445,1446,2289,2537,2485,2698,2746,2686,2811,2782,2982,2839,2794,2562,2320,2306,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Goods Vans & Pick-Ups,231,187,192,163,159,180,199,235,219,193,226,234,258,282,278,304,265,222,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
        Goods Vans,220,180,181,156,147,171,196,224,203,185,206,213,240,258,253,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
        Pick-Ups,11,7,11,7,12,9,3,11,16,8,20,21,18,24,25,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
"    Lorries, Tipper Trucks & Trailers",474,379,345,243,449,547,524,540,554,578,647,574,531,580,472,525,463,392,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
        Lorries,449,351,321,226,416,500,497,493,514,520,586,526,486,555,430,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
        Tipper Trucks,14,12,15,10,20,32,21,32,29,38,40,35,33,17,24,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
        Trailers,11,16,9,7,13,15,6,15,11,20,21,13,12,8,18,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Buses,203,238,128,168,276,350,333,415,358,342,243,320,245,481,361,329,298,303,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Others,24,23,23,12,22,27,22,38,28,39,16,32,30,37,35,123,93,123,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
